Date,Open,High,Low,Close,Volume,VWAP
,TCS.BO,TCS.BO,TCS.BO,TCS.BO,TCS.BO,
2020-06-23,2017.0,2043.8499755859375,2010.0,2035.4000244140625,925309,382.4380515942154
2020-06-24,2037.0,2064.0,2033.75,2042.3499755859375,183408,382.5478625537771
2020-06-25,2027.25,2059.75,2008.0,2010.9000244140625,401416,382.78359670502925
2020-06-26,2025.0,2129.800048828125,2020.0,2115.60009765625,285133,382.9617668328404
2020-06-29,2114.0,2127.0,2091.800048828125,2101.85009765625,113144,383.03189561637896
2020-06-30,2090.0,2111.0,2075.85009765625,2082.199951171875,144796,383.12060863116614
2020-07-01,2085.050048828125,2113.64990234375,2081.550048828125,2092.550048828125,85048,383.17302855740326
2020-07-02,2096.10009765625,2165.0,2096.10009765625,2158.35009765625,159176,383.27490539669196
2020-07-06,2208.699951171875,2269.0,2206.25,2263.10009765625,1248594,384.12076725615236
2020-07-07,2269.0,2301.85009765625,2232.75,2269.949951171875,192542,384.25161264757895
2020-07-08,2275.0,2275.0,2209.800048828125,2217.64990234375,107819,384.32284312378005
2020-07-09,2225.0,2244.64990234375,2192.60009765625,2204.35009765625,119208,384.4010200093002
2020-07-10,2200.0,2249.14990234375,2177.25,2221.64990234375,259682,384.5729154174566
2020-07-13,2225.0,2244.5,2210.75,2219.550048828125,91299,384.63327369367136
2020-07-14,2217.0,2237.449951171875,2166.300048828125,2171.699951171875,105794,384.7013859696346
2020-07-15,2183.0,2259.14990234375,2183.0,2233.550048828125,141346,384.79552860887827
2020-07-16,2264.0,2332.0,2220.949951171875,2233.64990234375,260133,384.96877290336596
2020-07-17,2255.0,2255.0,2190.10009765625,2201.35009765625,167683,385.07847896340894
2020-07-20,2200.0,2226.0,2191.199951171875,2209.75,108192,385.1495835267316
2020-07-21,2227.0,2240.699951171875,2202.0,2225.60009765625,133461,385.23804929921636
2020-07-22,2232.300048828125,2237.0,2185.0,2189.949951171875,128289,385.3214316223993
2020-07-23,2190.0,2191.0,2162.449951171875,2170.75,63185,385.3620594195759
2020-07-24,2158.800048828125,2162.10009765625,2125.85009765625,2157.050048828125,106972,385.43031017022986
2020-07-27,2160.0,2215.0,2160.0,2205.800048828125,110937,385.50303266183226
2020-07-28,2214.0,2320.0,2214.0,2309.199951171875,345610,385.74242024891356
2020-07-29,2292.0,2342.0,2247.0,2275.050048828125,173540,385.860466938624
2020-07-30,2292.0,2357.14990234375,2273.64990234375,2277.949951171875,209369,386.0030844507029
2020-07-31,2300.5,2335.0,2258.5,2282.449951171875,115665,386.08205103679154
2020-08-03,2299.0,2302.449951171875,2232.0,2251.300048828125,216125,386.2271624381086
2020-08-04,2260.0,2269.300048828125,2226.0,2249.14990234375,98064,386.29292156677167
2020-08-05,2264.949951171875,2299.949951171875,2253.300048828125,2258.800048828125,227082,386.44596767630867
2020-08-06,2271.10009765625,2317.75,2264.35009765625,2307.699951171875,136621,386.54043834505035
2020-08-07,2318.89990234375,2327.0,2287.800048828125,2294.949951171875,149776,386.6433074921428
2020-08-10,2310.0,2324.35009765625,2275.64990234375,2281.60009765625,50885,386.6780093299395
2020-08-11,2285.0,2312.39990234375,2276.10009765625,2279.25,53937,386.7147455231674
2020-08-12,2281.0,2303.5,2247.199951171875,2256.699951171875,98143,386.78079009306003
2020-08-13,2277.5,2299.449951171875,2250.5,2255.5,64899,386.82443278480355
2020-08-14,2274.39990234375,2281.25,2233.14990234375,2242.449951171875,98443,386.89016666443956
2020-08-17,2255.0,2268.85009765625,2239.0,2252.050048828125,98833,386.95649768625054
2020-08-18,2264.800048828125,2288.5,2250.0,2269.39990234375,63828,386.99973132941005
2020-08-19,2273.89990234375,2283.949951171875,2253.0,2256.25,70011,387.0468194613321
2020-08-20,2257.0,2276.0,2240.0,2252.0,137977,387.13940236548507
2020-08-21,2254.0,2270.300048828125,2242.0,2248.199951171875,54539,387.17592106640114
2020-08-24,2248.0,2259.14990234375,2230.0,2247.949951171875,69290,387.22230857171616
2020-08-25,2250.0,2250.0,2235.0,2242.25,44505,387.25201080249616
2020-08-26,2245.0,2260.0,2217.050048828125,2254.64990234375,76925,387.303690768054
2020-08-27,2261.050048828125,2287.0,2242.35009765625,2247.89990234375,134823,387.3939336384602
2020-08-28,2265.0,2280.0,2234.5,2237.10009765625,75463,387.4441472897345
2020-08-31,2241.0,2275.85009765625,2228.300048828125,2256.35009765625,121315,387.52570555661356
2020-09-01,2265.0,2278.10009765625,2241.5,2245.300048828125,54703,387.5622618032174
2020-09-02,2249.0,2268.35009765625,2242.0,2264.800048828125,408776,387.8382549609072
2020-09-03,2265.10009765625,2323.800048828125,2265.10009765625,2299.550048828125,109805,387.91375045343705
